                     epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4708,                 1.1849,                 1.1882,                0.45768,                 0.3707,                0.37453,                0.22036,                 1.3883,                 1.0871,                 1.1567,               0.008911,               0.008911,               0.008911
                     36,                 1.4728,                 1.1832,                 1.1846,                0.45752,                0.37195,                0.37112,                0.21943,                 1.3942,                 1.0944,                 1.1579,               0.008878,               0.008878,               0.008878
                     37,                 1.4602,                 1.1666,                 1.1827,                0.47029,                 0.3628,                0.36942,                0.21788,                 1.3801,                  1.088,                 1.1521,               0.008845,               0.008845,               0.008845
                     38,                 1.4642,                  1.169,                 1.1774,                0.47006,                0.37093,                0.37508,                0.22259,                 1.3819,                 1.0826,                 1.1522,               0.008812,               0.008812,               0.008812
                     39,                 1.4601,                 1.1642,                 1.1805,                0.46587,                0.37363,                 0.3757,                0.22243,                 1.3808,                 1.0793,                 1.1508,               0.008779,               0.008779,               0.008779
                     40,                 1.4634,                 1.1604,                 1.1805,                0.47415,                 0.3705,                0.37672,                0.22385,                 1.3742,                  1.073,                 1.1471,               0.008746,               0.008746,               0.008746
                     41,                  1.456,                 1.1561,                 1.1753,                0.46375,                0.37696,                0.37915,                0.22409,                 1.3741,                 1.0706,                  1.148,               0.008713,               0.008713,               0.008713
                     42,                 1.4493,                 1.1484,                 1.1731,                0.46836,                0.37308,                0.37612,                0.22406,                  1.373,                 1.0698,                 1.1469,                0.00868,                0.00868,                0.00868
                     43,                 1.4518,                 1.1523,                 1.1755,                0.47378,                0.37597,                0.38205,                0.22818,                 1.3663,                 1.0639,                 1.1433,               0.008647,               0.008647,               0.008647
                     44,                 1.4442,                 1.1422,                 1.1678,                0.47936,                0.37782,                0.38487,                0.22921,                 1.3672,                 1.0613,                 1.1446,               0.008614,               0.008614,               0.008614
                     45,                 1.4493,                 1.1481,                 1.1736,                0.49012,                0.37745,                0.38605,                0.22958,                 1.3681,                 1.0637,                 1.1423,               0.008581,               0.008581,               0.008581
                     46,                 1.4502,                 1.1416,                 1.1722,                0.47431,                0.38213,                0.38438,                0.22875,                 1.3724,                 1.0664,                 1.1423,               0.008548,               0.008548,               0.008548
                     47,                 1.4535,                  1.149,                 1.1684,                0.47552,                0.37899,                0.38313,                0.22912,                 1.3762,                 1.0716,                 1.1396,               0.008515,               0.008515,               0.008515
                     48,                 1.4544,                 1.1448,                 1.1664,                0.46598,                0.38393,                 0.3884,                0.23113,                 1.3811,                 1.0706,                 1.1364,               0.008482,               0.008482,               0.008482
                     49,                 1.4492,                 1.1456,                 1.1572,                0.49092,                0.37997,                0.39075,                0.23298,                  1.381,                 1.0721,                 1.1332,               0.008449,               0.008449,               0.008449
                     50,                 1.4623,                 1.1541,                  1.155,                0.48418,                0.38955,                0.39652,                0.23629,                  1.375,                 1.0671,                 1.1275,               0.008416,               0.008416,               0.008416
                     51,                  1.461,                 1.1513,                 1.1557,                0.48168,                0.38903,                0.39334,                 0.2347,                 1.3799,                 1.0711,                 1.1276,               0.008383,               0.008383,               0.008383
                     52,                 1.4589,                 1.1483,                 1.1536,                0.48661,                0.38649,                0.39499,                0.23699,                 1.3728,                 1.0629,                 1.1217,                0.00835,                0.00835,                0.00835
                     53,                 1.4486,                 1.1434,                 1.1527,                0.50074,                0.38298,                 0.3958,                0.23644,                  1.381,                 1.0659,                 1.1267,               0.008317,               0.008317,               0.008317
                     54,                 1.4481,                 1.1363,                 1.1477,                0.48344,                0.38963,                0.39627,                0.23646,                 1.3771,                 1.0637,                 1.1227,               0.008284,               0.008284,               0.008284
                     55,                 1.4529,                 1.1412,                 1.1497,                0.49098,                0.38645,                0.39605,                0.23768,                 1.3746,                 1.0634,                 1.1215,               0.008251,               0.008251,               0.008251
                     56,                 1.4446,                 1.1392,                 1.1489,                0.48236,                0.39386,                0.39786,                0.23805,                 1.3732,                 1.0605,                 1.1199,               0.008218,               0.008218,               0.008218
                     57,                 1.4449,                 1.1344,                 1.1453,                0.49737,                0.39203,                0.40028,                0.23966,                 1.3731,                 1.0603,                 1.1195,               0.008185,               0.008185,               0.008185
                     58,                 1.4471,                 1.1255,                 1.1385,                0.49703,                0.38811,                0.39859,                0.23845,                 1.3731,                 1.0563,                 1.1185,               0.008152,               0.008152,               0.008152
                     59,                 1.4391,                 1.1253,                 1.1447,                0.49712,                0.38965,                0.40227,                0.24099,                 1.3677,                 1.0549,                 1.1153,               0.008119,               0.008119,               0.008119
                     60,                  1.438,                 1.1209,                 1.1449,                 0.4918,                0.39752,                0.40323,                0.24146,                  1.367,                 1.0501,                 1.1152,               0.008086,               0.008086,               0.008086
                     61,                 1.4389,                 1.1202,                 1.1398,                0.49912,                0.38905,                0.40372,                0.24141,                 1.3707,                 1.0519,                 1.1148,               0.008053,               0.008053,               0.008053
                     62,                 1.4301,                 1.1069,                 1.1313,                0.49117,                0.39369,                 0.4054,                0.24334,                 1.3645,                 1.0485,                 1.1128,                0.00802,                0.00802,                0.00802
                     63,                 1.4309,                 1.1128,                 1.1408,                0.50485,                0.39234,                0.40736,                0.24388,                 1.3623,                 1.0458,                  1.112,               0.007987,               0.007987,               0.007987
                     64,                 1.4323,                 1.1092,                  1.135,                0.50061,                0.39866,                0.40905,                0.24611,                 1.3612,                 1.0454,                 1.1104,               0.007954,               0.007954,               0.007954
                     65,                 1.4366,                 1.1167,                  1.137,                0.49898,                0.39806,                 0.4113,                0.24727,                 1.3615,                 1.0399,                 1.1112,               0.007921,               0.007921,               0.007921
                     66,                 1.4305,                 1.1086,                  1.135,                0.51541,                0.39871,                0.41075,                0.24719,                 1.3595,                 1.0418,                 1.1085,               0.007888,               0.007888,               0.007888
                     67,                 1.4254,                 1.1034,                 1.1346,                0.50655,                 0.3947,                0.41195,                0.24832,                 1.3583,                 1.0355,                 1.1089,               0.007855,               0.007855,               0.007855
                     68,                 1.4214,                 1.1016,                 1.1296,                0.49883,                0.40492,                0.41356,                 0.2488,                 1.3561,                 1.0362,                 1.1081,               0.007822,               0.007822,               0.007822
                     69,                 1.4171,                 1.0938,                 1.1301,                0.50836,                0.40229,                0.41523,                0.25013,                  1.355,                 1.0329,                 1.1069,               0.007789,               0.007789,               0.007789
                     70,                 1.4212,                 1.0983,                 1.1312,                0.51642,                0.39697,                0.41401,                0.24834,                 1.3564,                 1.0337,                 1.1075,               0.007756,               0.007756,               0.007756
                     71,                 1.4233,                 1.0973,                 1.1298,                0.51259,                0.39848,                0.41463,                0.24896,                 1.3541,                 1.0325,                 1.1066,               0.007723,               0.007723,               0.007723
                     72,                 1.4174,                 1.0932,                 1.1284,                0.49722,                0.40512,                0.41476,                0.24948,                 1.3554,                 1.0306,                 1.1061,                0.00769,                0.00769,                0.00769
                     73,                 1.4166,                 1.0886,                 1.1277,                 0.5042,                0.40675,                0.41436,                0.25029,                 1.3569,                  1.034,                 1.1059,               0.007657,               0.007657,               0.007657
                     74,                 1.4206,                 1.0957,                 1.1277,                0.52647,                0.39871,                0.41575,                0.25097,                 1.3531,                   1.03,                 1.1043,               0.007624,               0.007624,               0.007624
                     75,                 1.4174,                 1.0863,                 1.1281,                0.52332,                0.40011,                0.41623,                0.25029,                 1.3518,                 1.0284,                 1.1039,               0.007591,               0.007591,               0.007591
                     76,                 1.4156,                 1.0813,                 1.1235,                 0.5184,                0.40233,                 0.4175,                0.25117,                 1.3514,                 1.0257,                 1.1036,               0.007558,               0.007558,               0.007558
                     77,                 1.4138,                 1.0818,                 1.1287,                0.51081,                 0.4091,                 0.4171,                0.25127,                 1.3496,                  1.025,                 1.1023,               0.007525,               0.007525,               0.007525
                     78,                  1.418,                 1.0863,                 1.1271,                0.51342,                0.40335,                0.41807,                0.25209,                 1.3485,                 1.0264,                 1.1018,               0.007492,               0.007492,               0.007492
                     79,                 1.4121,                 1.0807,                 1.1239,                0.51481,                0.40221,                0.41968,                0.25294,                 1.3478,                 1.0227,                 1.1022,               0.007459,               0.007459,               0.007459
                     80,                 1.4092,                 1.0757,                 1.1234,                0.52977,                0.40003,                 0.4201,                0.25365,                  1.347,                 1.0215,                 1.1014,               0.007426,               0.007426,               0.007426
                     81,                 1.4127,                 1.0748,                 1.1233,                0.51862,                 0.4085,                0.42338,                0.25524,                 1.3455,                 1.0194,                 1.1004,               0.007393,               0.007393,               0.007393
                     82,                 1.4044,                 1.0733,                 1.1215,                0.51431,                0.41023,                0.42361,                 0.2548,                 1.3458,                 1.0186,                 1.1007,                0.00736,                0.00736,                0.00736
                     83,                 1.4113,                 1.0746,                  1.121,                0.52334,                 0.4063,                0.42172,                0.25331,                 1.3472,                 1.0185,                 1.1008,               0.007327,               0.007327,               0.007327
                     84,                 1.4133,                 1.0728,                  1.123,                0.51907,                0.41016,                0.42284,                0.25452,                 1.3465,                 1.0179,                 1.1003,               0.007294,               0.007294,               0.007294
                     85,                 1.4058,                 1.0639,                 1.1209,                  0.519,                0.40958,                0.42327,                0.25462,                 1.3471,                  1.016,                 1.1002,               0.007261,               0.007261,               0.007261
                     86,                 1.4041,                 1.0678,                 1.1228,                0.52398,                0.41051,                0.42311,                0.25492,                 1.3462,                 1.0141,                 1.0994,               0.007228,               0.007228,               0.007228
