                     epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    154,                 1.3465,                 0.9748,                 1.0924,                 0.5428,                0.42476,                0.44257,                0.26789,                 1.3284,                0.97881,                 1.0867,               0.004984,               0.004984,               0.004984
                    155,                 1.3414,                0.97491,                 1.0862,                0.54273,                0.42526,                0.44301,                0.26831,                 1.3286,                0.97869,                 1.0867,               0.004951,               0.004951,               0.004951
                    156,                 1.3472,                0.97799,                 1.0922,                0.54373,                0.42529,                0.44314,                0.26832,                 1.3283,                0.97831,                 1.0867,               0.004918,               0.004918,               0.004918
                    157,                 1.3458,                0.97014,                 1.0918,                0.54167,                0.42635,                0.44315,                0.26812,                 1.3281,                0.97794,                 1.0866,               0.004885,               0.004885,               0.004885
                    158,                 1.3461,                 0.9732,                  1.091,                0.54169,                0.42664,                0.44295,                 0.2679,                 1.3278,                0.97747,                 1.0865,               0.004852,               0.004852,               0.004852
                    159,                 1.3438,                0.96828,                 1.0912,                0.54071,                 0.4266,                0.44315,                0.26813,                 1.3277,                0.97729,                 1.0863,               0.004819,               0.004819,               0.004819
                    160,                 1.3368,                0.96943,                  1.086,                0.54138,                0.42678,                0.44331,                0.26831,                 1.3276,                0.97726,                 1.0862,               0.004786,               0.004786,               0.004786
                    161,                 1.3479,                0.97595,                  1.086,                0.54035,                0.42794,                0.44364,                0.26858,                 1.3275,                0.97704,                 1.0861,               0.004753,               0.004753,               0.004753
                    162,                 1.3504,                0.97575,                 1.0898,                0.54061,                0.42821,                0.44341,                0.26868,                 1.3274,                0.97658,                  1.086,                0.00472,                0.00472,                0.00472
                    163,                 1.3469,                0.97264,                  1.089,                0.53874,                0.42947,                0.44403,                0.26888,                 1.3271,                0.97653,                  1.086,               0.004687,               0.004687,               0.004687
                    164,                 1.3391,                 0.9698,                 1.0903,                0.53972,                0.42966,                0.44465,                 0.2694,                  1.327,                0.97638,                 1.0859,               0.004654,               0.004654,               0.004654
                    165,                 1.3401,                0.96534,                  1.087,                0.53919,                0.42991,                0.44458,                 0.2693,                 1.3268,                0.97615,                 1.0859,               0.004621,               0.004621,               0.004621
                    166,                 1.3455,                0.97073,                 1.0892,                0.54017,                0.42952,                0.44484,                0.26959,                 1.3268,                0.97578,                 1.0858,               0.004588,               0.004588,               0.004588
                    167,                 1.3408,                0.97042,                 1.0906,                0.53991,                0.42967,                0.44506,                0.26974,                 1.3268,                0.97555,                 1.0858,               0.004555,               0.004555,               0.004555
                    168,                 1.3408,                0.96878,                 1.0879,                0.54089,                0.43003,                0.44511,                0.26982,                 1.3267,                0.97518,                 1.0858,               0.004522,               0.004522,               0.004522
                    169,                 1.3429,                 0.9633,                 1.0826,                0.53894,                0.43121,                 0.4453,                0.26986,                 1.3267,                0.97501,                 1.0857,               0.004489,               0.004489,               0.004489
                    170,                 1.3373,                0.96204,                 1.0892,                0.53966,                 0.4316,                0.44544,                0.26983,                 1.3267,                0.97473,                 1.0857,               0.004456,               0.004456,               0.004456
                    171,                 1.3369,                0.95927,                   1.09,                0.54388,                 0.4304,                0.44572,                0.26994,                 1.3265,                0.97492,                 1.0855,               0.004423,               0.004423,               0.004423
                    172,                 1.3362,                0.96104,                 1.0854,                0.54352,                0.42954,                0.44585,                0.27016,                 1.3265,                0.97445,                 1.0855,                0.00439,                0.00439,                0.00439
                    173,                 1.3252,                0.94637,                  1.077,                0.54468,                0.42888,                 0.4458,                0.27011,                 1.3267,                0.97449,                 1.0855,               0.004357,               0.004357,               0.004357
                    174,                 1.3313,                0.95518,                 1.0881,                0.54398,                0.42941,                0.44579,                0.27018,                 1.3267,                0.97466,                 1.0856,               0.004324,               0.004324,               0.004324
                    175,                 1.3329,                0.95549,                 1.0837,                0.54476,                0.42759,                0.44546,                0.26997,                 1.3267,                0.97442,                 1.0856,               0.004291,               0.004291,               0.004291
                    176,                 1.3392,                0.96297,                  1.086,                0.54453,                0.42823,                0.44545,                0.27002,                 1.3268,                0.97454,                 1.0856,               0.004258,               0.004258,               0.004258
                    177,                 1.3347,                0.95686,                 1.0854,                0.54222,                0.42906,                0.44528,                0.26987,                 1.3269,                0.97458,                 1.0856,               0.004225,               0.004225,               0.004225
                    178,                 1.3317,                0.95724,                 1.0861,                0.54244,                0.42949,                0.44534,                 0.2699,                 1.3269,                0.97456,                 1.0857,               0.004192,               0.004192,               0.004192
                    179,                 1.3282,                0.95728,                 1.0815,                0.54406,                0.42865,                0.44549,                0.26989,                  1.327,                0.97437,                 1.0857,               0.004159,               0.004159,               0.004159
                    180,                 1.3255,                0.95196,                 1.0827,                0.54216,                0.42964,                0.44571,                0.26993,                  1.327,                0.97417,                 1.0857,               0.004126,               0.004126,               0.004126
                    181,                 1.3294,                0.95632,                  1.084,                  0.542,                0.42974,                0.44572,                   0.27,                  1.327,                0.97421,                 1.0858,               0.004093,               0.004093,               0.004093
                    182,                 1.3315,                0.95464,                  1.083,                0.54188,                0.42963,                0.44575,                0.27009,                  1.327,                0.97406,                 1.0858,                0.00406,                0.00406,                0.00406
                    183,                 1.3268,                0.95163,                 1.0826,                0.54298,                0.43011,                0.44571,                 0.2701,                  1.327,                0.97393,                 1.0858,               0.004027,               0.004027,               0.004027
                    184,                 1.3273,                0.94998,                 1.0827,                0.53991,                0.43191,                0.44573,                0.27002,                  1.327,                0.97394,                 1.0858,               0.003994,               0.003994,               0.003994
                    185,                 1.3309,                0.95788,                 1.0825,                0.54133,                0.43102,                0.44556,                0.26998,                 1.3269,                0.97364,                 1.0858,               0.003961,               0.003961,               0.003961
                    186,                 1.3282,                0.94945,                 1.0838,                0.54143,                0.43118,                0.44566,                0.26999,                  1.327,                0.97357,                 1.0857,               0.003928,               0.003928,               0.003928
                    187,                 1.3303,                0.94788,                 1.0807,                0.54233,                0.43073,                0.44546,                   0.27,                 1.3269,                0.97349,                 1.0858,               0.003895,               0.003895,               0.003895
                    188,                 1.3261,                0.94624,                 1.0845,                0.54324,                0.43067,                0.44566,                0.27013,                  1.327,                0.97352,                 1.0858,               0.003862,               0.003862,               0.003862
                    189,                 1.3324,                0.95282,                 1.0845,                0.54319,                0.43062,                0.44555,                0.26993,                 1.3271,                0.97362,                 1.0858,               0.003829,               0.003829,               0.003829
                    190,                 1.3279,                0.95048,                 1.0814,                0.54459,                0.43014,                 0.4457,                0.26996,                 1.3271,                0.97358,                 1.0858,               0.003796,               0.003796,               0.003796
                    191,                 1.3243,                0.94488,                 1.0811,                0.54604,                0.42889,                0.44564,                0.27005,                 1.3272,                0.97362,                 1.0858,               0.003763,               0.003763,               0.003763
                    192,                 1.3294,                0.94642,                 1.0818,                0.54408,                0.42915,                0.44564,                0.27014,                 1.3271,                0.97351,                 1.0858,                0.00373,                0.00373,                0.00373
                    193,                 1.3227,                0.94313,                 1.0807,                0.54463,                0.42939,                0.44578,                0.27025,                  1.327,                0.97347,                 1.0858,               0.003697,               0.003697,               0.003697
                    194,                 1.3282,                0.94793,                   1.08,                0.54227,                0.43021,                0.44572,                0.27013,                  1.327,                 0.9733,                 1.0858,               0.003664,               0.003664,               0.003664
                    195,                 1.3322,                0.94811,                 1.0824,                0.54272,                0.43005,                0.44579,                0.27017,                 1.3272,                0.97338,                 1.0858,               0.003631,               0.003631,               0.003631
                    196,                 1.3244,                 0.9404,                 1.0809,                0.54481,                0.42906,                0.44601,                0.27029,                  1.327,                0.97319,                 1.0858,               0.003598,               0.003598,               0.003598
                    197,                 1.3231,                0.94283,                 1.0822,                0.54449,                0.42849,                0.44598,                 0.2702,                 1.3269,                0.97311,                 1.0858,               0.003565,               0.003565,               0.003565
                    198,                 1.3218,                0.93815,                 1.0788,                0.54497,                0.42849,                0.44594,                0.27013,                 1.3269,                0.97309,                 1.0858,               0.003532,               0.003532,               0.003532
                    199,                 1.3187,                 0.9365,                 1.0784,                0.54318,                0.42997,                0.44611,                 0.2703,                 1.3269,                  0.973,                 1.0858,               0.003499,               0.003499,               0.003499
                    200,                  1.322,                0.93795,                 1.0779,                0.54348,                0.43005,                0.44614,                0.27007,                  1.327,                  0.973,                 1.0858,               0.003466,               0.003466,               0.003466
                    201,                 1.3178,                0.93829,                 1.0773,                0.54508,                0.42928,                0.44613,                0.27022,                 1.3271,                0.97294,                 1.0858,               0.003433,               0.003433,               0.003433
                    202,                  1.324,                0.93758,                 1.0772,                0.54368,                0.43055,                0.44618,                0.27002,                 1.3268,                0.97266,                 1.0858,                 0.0034,                 0.0034,                 0.0034
                    203,                 1.3157,                0.93293,                  1.076,                0.54362,                0.43051,                 0.4463,                0.27017,                 1.3268,                0.97272,                 1.0858,               0.003367,               0.003367,               0.003367
                    204,                  1.322,                0.93745,                  1.079,                0.54317,                0.43053,                0.44645,                0.27035,                 1.3268,                0.97276,                 1.0858,               0.003334,               0.003334,               0.003334
                    205,                 1.3196,                0.93731,                 1.0826,                0.54534,                0.42977,                0.44649,                0.27032,                 1.3268,                0.97248,                 1.0858,               0.003301,               0.003301,               0.003301
                    206,                 1.3203,                0.93164,                 1.0776,                0.54319,                0.43046,                0.44655,                 0.2702,                 1.3268,                0.97255,                 1.0858,               0.003268,               0.003268,               0.003268
                    207,                 1.3142,                0.93246,                 1.0781,                0.54324,                0.43088,                0.44662,                0.27008,                 1.3268,                0.97252,                 1.0858,               0.003235,               0.003235,               0.003235
                    208,                 1.3186,                 0.9325,                 1.0762,                0.54345,                0.43072,                 0.4468,                0.27026,                 1.3269,                0.97233,                 1.0858,               0.003202,               0.003202,               0.003202
                    209,                 1.3121,                0.92851,                 1.0774,                0.54405,                0.43106,                0.44686,                0.27016,                 1.3268,                 0.9723,                 1.0858,               0.003169,               0.003169,               0.003169
                    210,                 1.3176,                0.93207,                 1.0737,                 0.5458,                0.43005,                0.44681,                0.27032,                 1.3268,                0.97207,                 1.0858,               0.003136,               0.003136,               0.003136
                    211,                 1.3142,                0.92979,                 1.0755,                 0.5448,                0.43004,                0.44689,                0.27064,                 1.3268,                0.97227,                 1.0858,               0.003103,               0.003103,               0.003103
                    212,                 1.3194,                0.92947,                 1.0774,                 0.5458,                0.43013,                0.44666,                0.27045,                 1.3268,                0.97211,                 1.0859,                0.00307,                0.00307,                0.00307
                    213,                  1.316,                0.93373,                 1.0745,                0.54612,                0.43007,                0.44675,                0.27053,                  1.327,                0.97207,                 1.0859,               0.003037,               0.003037,               0.003037
                    214,                 1.3109,                0.92465,                 1.0733,                0.54608,                0.42997,                0.44678,                0.27042,                 1.3269,                 0.9721,                 1.0859,               0.003004,               0.003004,               0.003004
                    215,                 1.3163,                0.92785,                 1.0777,                0.54584,                0.43008,                0.44684,                0.27046,                 1.3272,                0.97202,                 1.0859,               0.002971,               0.002971,               0.002971
                    216,                 1.3113,                0.92804,                 1.0718,                0.54672,                0.42994,                0.44686,                0.27053,                  1.327,                0.97201,                 1.0859,               0.002938,               0.002938,               0.002938
                    217,                  1.316,                0.93107,                 1.0771,                0.54637,                  0.429,                0.44687,                0.27047,                 1.3272,                0.97185,                 1.0858,               0.002905,               0.002905,               0.002905
                    218,                 1.3151,                0.92497,                 1.0773,                0.54648,                0.42931,                0.44681,                0.27056,                 1.3273,                 0.9718,                 1.0859,               0.002872,               0.002872,               0.002872
                    219,                 1.3148,                0.92618,                 1.0762,                0.54655,                0.42922,                0.44691,                0.27058,                 1.3272,                0.97176,                 1.0858,               0.002839,               0.002839,               0.002839
                    220,                 1.3127,                0.92164,                 1.0769,                0.54593,                0.42935,                0.44701,                0.27066,                 1.3271,                0.97166,                 1.0857,               0.002806,               0.002806,               0.002806
                    221,                 1.3067,                0.92327,                 1.0724,                0.54511,                 0.4307,                0.44708,                0.27052,                 1.3271,                0.97161,                 1.0858,               0.002773,               0.002773,               0.002773
                    222,                 1.3175,                0.92894,                 1.0721,                0.54484,                0.43131,                0.44701,                 0.2705,                  1.327,                0.97139,                 1.0858,                0.00274,                0.00274,                0.00274
                    223,                 1.3191,                0.92829,                 1.0754,                0.54499,                0.43222,                0.44714,                 0.2703,                 1.3272,                0.97142,                 1.0858,               0.002707,               0.002707,               0.002707
                    224,                 1.3158,                0.92614,                 1.0744,                0.54639,                 0.4314,                0.44732,                0.27058,                 1.3271,                0.97116,                 1.0858,               0.002674,               0.002674,               0.002674
                    225,                 1.3085,                0.92257,                 1.0758,                0.54641,                0.43155,                0.44722,                0.27063,                 1.3269,                0.97104,                 1.0857,               0.002641,               0.002641,               0.002641
                    226,                 1.3098,                0.91983,                 1.0733,                0.54713,                 0.4316,                0.44731,                0.27067,                 1.3271,                0.97089,                 1.0857,               0.002608,               0.002608,               0.002608
                    227,                 1.3151,                0.92311,                 1.0749,                0.54745,                0.43141,                0.44749,                0.27079,                 1.3271,                0.97081,                 1.0857,               0.002575,               0.002575,               0.002575
                    228,                 1.3099,                0.92437,                 1.0763,                0.54919,                0.43073,                0.44761,                0.27084,                 1.3271,                0.97069,                 1.0857,               0.002542,               0.002542,               0.002542
                    229,                  1.311,                0.92223,                  1.074,                 0.5488,                0.43042,                0.44745,                0.27082,                  1.327,                0.97035,                 1.0855,               0.002509,               0.002509,               0.002509
                    230,                 1.3138,                0.91832,                  1.069,                0.54837,                0.43159,                0.44759,                0.27093,                 1.3271,                0.97043,                 1.0855,               0.002476,               0.002476,               0.002476
                    231,                 1.3076,                 0.9166,                 1.0755,                0.54799,                0.43158,                0.44772,                0.27102,                 1.3271,                0.97036,                 1.0854,               0.002443,               0.002443,               0.002443
                    232,                 1.3081,                0.91506,                 1.0764,                 0.5483,                0.43167,                0.44741,                  0.271,                 1.3269,                0.97034,                 1.0855,                0.00241,                0.00241,                0.00241
                    233,                 1.3063,                0.91599,                 1.0715,                 0.5482,                0.43122,                0.44791,                0.27101,                 1.3273,                 0.9703,                 1.0856,               0.002377,               0.002377,               0.002377
                    234,                 1.2997,                0.91094,                 1.0662,                0.54793,                0.43113,                0.44796,                0.27098,                 1.3272,                0.97023,                 1.0856,               0.002344,               0.002344,               0.002344
                    235,                 1.3044,                0.91592,                 1.0759,                0.54774,                0.43149,                0.44787,                 0.2711,                 1.3272,                0.97018,                 1.0856,               0.002311,               0.002311,               0.002311
                    236,                 1.3051,                0.91667,                 1.0709,                0.54962,                0.43082,                0.44783,                0.27112,                 1.3271,                 0.9702,                 1.0855,               0.002278,               0.002278,               0.002278
                    237,                 1.3108,                0.92356,                 1.0734,                0.54914,                 0.4304,                0.44753,                0.27102,                 1.3272,                0.97018,                 1.0855,               0.002245,               0.002245,               0.002245
                    238,                 1.3071,                0.91737,                 1.0729,                0.54884,                0.43096,                0.44782,                0.27101,                 1.3272,                0.97025,                 1.0855,               0.002212,               0.002212,               0.002212
                    239,                 1.3036,                0.91746,                 1.0731,                0.54846,                0.43106,                0.44765,                0.27103,                 1.3273,                0.97037,                 1.0855,               0.002179,               0.002179,               0.002179
                    240,                 1.3011,                0.91771,                 1.0694,                0.54871,                0.43137,                0.44772,                0.27118,                 1.3274,                0.97046,                 1.0856,               0.002146,               0.002146,               0.002146
                    241,                 1.2988,                0.91261,                 1.0706,                0.54744,                0.43167,                0.44787,                0.27099,                 1.3274,                0.97041,                 1.0856,               0.002113,               0.002113,               0.002113
                    242,                 1.3025,                0.91618,                 1.0722,                0.54714,                0.43134,                0.44799,                0.27106,                 1.3275,                0.97055,                 1.0857,                0.00208,                0.00208,                0.00208
                    243,                 1.3054,                0.91541,                 1.0716,                0.54827,                0.43106,                0.44799,                0.27105,                 1.3275,                0.97042,                 1.0857,               0.002047,               0.002047,               0.002047
                    244,                 1.3004,                0.91214,                 1.0707,                0.54699,                0.43124,                0.44771,                0.27083,                 1.3275,                0.97056,                 1.0858,               0.002014,               0.002014,               0.002014
                    245,                 1.3007,                0.91105,                 1.0703,                0.54631,                0.43145,                0.44771,                0.27088,                 1.3275,                0.97063,                 1.0858,               0.001981,               0.001981,               0.001981
                    246,                 1.3044,                 0.9177,                 1.0707,                0.54553,                0.43153,                0.44787,                0.27095,                 1.3276,                0.97058,                 1.0859,               0.001948,               0.001948,               0.001948
                    247,                 1.3015,                 0.9101,                 1.0716,                0.54492,                0.43179,                0.44772,                0.27079,                 1.3277,                 0.9706,                 1.0859,               0.001915,               0.001915,               0.001915
                    248,                 1.3032,                 0.9084,                 1.0688,                0.54637,                0.43143,                0.44772,                0.27076,                 1.3277,                0.97076,                 1.0858,               0.001882,               0.001882,               0.001882
                    249,                 1.3001,                0.90796,                 1.0729,                0.54533,                0.43161,                0.44757,                0.27068,                 1.3276,                0.97092,                 1.0858,               0.001849,               0.001849,               0.001849
                    250,                 1.3048,                0.91343,                 1.0718,                 0.5448,                0.43176,                0.44747,                0.27052,                 1.3279,                0.97091,                 1.0859,               0.001816,               0.001816,               0.001816
                    251,                 1.3011,                 0.9108,                 1.0696,                0.54289,                0.43273,                0.44752,                0.27049,                 1.3278,                0.97095,                 1.0859,               0.001783,               0.001783,               0.001783
                    252,                  1.297,                 0.9055,                 1.0688,                0.54635,                0.43132,                0.44734,                0.27045,                 1.3278,                0.97089,                 1.0859,                0.00175,                0.00175,                0.00175
                    253,                 1.3021,                0.90757,                 1.0697,                0.54555,                0.43161,                0.44755,                0.27049,                 1.3279,                0.97102,                  1.086,               0.001717,               0.001717,               0.001717
                    254,                 1.2968,                0.90403,                 1.0685,                0.54337,                0.43256,                0.44744,                0.27041,                  1.328,                0.97088,                  1.086,               0.001684,               0.001684,               0.001684
                    255,                 1.3007,                0.90757,                 1.0675,                0.54279,                0.43286,                0.44751,                0.27029,                 1.3279,                0.97107,                 1.0861,               0.001651,               0.001651,               0.001651
                    256,                 1.3056,                0.90803,                 1.0701,                0.54376,                0.43241,                0.44761,                0.27052,                 1.3279,                0.97097,                 1.0861,               0.001618,               0.001618,               0.001618
                    257,                 1.2977,                0.90183,                 1.0687,                0.54406,                0.43241,                0.44729,                0.27027,                 1.3279,                0.97123,                 1.0862,               0.001585,               0.001585,               0.001585
                    258,                 1.2971,                0.90395,                 1.0706,                0.54378,                0.43238,                0.44751,                0.27033,                 1.3279,                0.97107,                 1.0861,               0.001552,               0.001552,               0.001552
                    259,                 1.2951,                0.90066,                 1.0671,                0.54386,                0.43219,                0.44731,                 0.2701,                 1.3279,                0.97115,                 1.0862,               0.001519,               0.001519,               0.001519
                    260,                 1.2921,                0.89828,                 1.0665,                0.54444,                0.43256,                0.44759,                0.27025,                 1.3279,                  0.971,                 1.0862,               0.001486,               0.001486,               0.001486
                    261,                 1.2958,                0.90003,                 1.0664,                0.54439,                0.43276,                0.44739,                0.27006,                 1.3281,                0.97105,                 1.0863,               0.001453,               0.001453,               0.001453
                    262,                 1.2928,                0.89924,                  1.066,                0.54448,                0.43273,                0.44758,                0.27016,                 1.3281,                0.97108,                 1.0863,                0.00142,                0.00142,                0.00142
                    263,                 1.2982,                0.89989,                 1.0653,                0.54777,                0.43119,                0.44761,                 0.2701,                 1.3282,                0.97107,                 1.0863,               0.001387,               0.001387,               0.001387
                    264,                 1.2907,                0.89619,                 1.0646,                0.54882,                0.42974,                0.44763,                0.27009,                 1.3282,                0.97081,                 1.0863,               0.001354,               0.001354,               0.001354
                    265,                 1.2944,                0.89906,                 1.0668,                0.54931,                0.43013,                0.44767,                0.27017,                 1.3282,                0.97078,                 1.0863,               0.001321,               0.001321,               0.001321
                    266,                 1.2939,                0.89954,                  1.071,                0.54555,                0.43349,                0.44782,                0.27015,                 1.3285,                0.97097,                 1.0864,               0.001288,               0.001288,               0.001288
                    267,                 1.2947,                0.89524,                 1.0665,                0.54954,                 0.4304,                0.44759,                0.27012,                 1.3283,                0.97083,                 1.0864,               0.001255,               0.001255,               0.001255
                    268,                 1.2888,                 0.8949,                 1.0668,                 0.5494,                0.43092,                0.44775,                0.27029,                 1.3285,                0.97067,                 1.0864,               0.001222,               0.001222,               0.001222
                    269,                  1.293,                0.89469,                 1.0649,                0.54485,                0.43435,                 0.4478,                0.27047,                 1.3286,                0.97093,                 1.0865,               0.001189,               0.001189,               0.001189
                    270,                 1.2872,                 0.8914,                 1.0663,                0.54493,                0.43443,                0.44801,                0.27047,                 1.3287,                0.97072,                 1.0865,               0.001156,               0.001156,               0.001156
                    271,                 1.2925,                0.89543,                  1.063,                0.54926,                0.43079,                0.44772,                0.27023,                 1.3286,                0.97089,                 1.0866,               0.001123,               0.001123,               0.001123
                    272,                 1.2886,                0.89288,                 1.0641,                0.54776,                0.43174,                  0.448,                0.27047,                 1.3289,                0.97071,                 1.0866,                0.00109,                0.00109,                0.00109
                    273,                 1.2943,                0.89169,                  1.066,                 0.5469,                0.43349,                0.44806,                0.27054,                 1.3289,                0.97068,                 1.0867,               0.001057,               0.001057,               0.001057
                    274,                 1.2914,                0.89636,                 1.0636,                0.54964,                0.43156,                 0.4481,                0.27065,                  1.329,                0.97078,                 1.0867,               0.001024,               0.001024,               0.001024
                    275,                 1.2862,                0.88825,                 1.0623,                0.54997,                0.43208,                0.44801,                0.27056,                 1.3292,                0.97087,                 1.0868,               0.000991,               0.000991,               0.000991
                    276,                 1.2902,                0.89061,                 1.0661,                0.54907,                0.43193,                0.44807,                0.27041,                 1.3292,                0.97072,                 1.0868,               0.000958,               0.000958,               0.000958
                    277,                  1.287,                0.89101,                 1.0612,                0.54938,                0.43231,                0.44797,                 0.2704,                 1.3293,                 0.9707,                 1.0868,               0.000925,               0.000925,               0.000925
                    278,                 1.2917,                0.89378,                 1.0664,                0.54931,                0.43207,                0.44789,                0.27043,                 1.3292,                0.97078,                 1.0868,               0.000892,               0.000892,               0.000892
                    279,                 1.2911,                0.88844,                 1.0665,                0.54941,                0.43221,                0.44792,                0.27044,                 1.3293,                0.97077,                 1.0868,               0.000859,               0.000859,               0.000859
                    280,                  1.289,                0.88947,                 1.0655,                0.54943,                0.43204,                 0.4481,                0.27057,                 1.3294,                0.97071,                 1.0869,               0.000826,               0.000826,               0.000826
                    281,                 1.2878,                0.88573,                 1.0661,                0.54964,                0.43149,                0.44812,                0.27054,                 1.3292,                0.97065,                 1.0869,               0.000793,               0.000793,               0.000793
                    282,                 1.2821,                0.88671,                 1.0614,                0.54924,                0.43177,                 0.4478,                0.27039,                 1.3294,                0.97047,                  1.087,                0.00076,                0.00076,                0.00076
                    283,                  1.293,                0.89363,                 1.0617,                0.54974,                0.43148,                0.44796,                0.27048,                 1.3295,                0.97073,                  1.087,               0.000727,               0.000727,               0.000727
                    284,                 1.2943,                0.89251,                 1.0651,                0.55009,                0.43133,                0.44781,                0.27023,                 1.3295,                0.97087,                 1.0871,               0.000694,               0.000694,               0.000694
                    285,                 1.2919,                0.89105,                  1.064,                0.55043,                0.43166,                  0.448,                0.27039,                 1.3297,                0.97078,                 1.0871,               0.000661,               0.000661,               0.000661
                    286,                 1.2838,                0.88681,                  1.065,                0.54909,                0.43315,                0.44789,                0.27051,                 1.3299,                0.97083,                 1.0871,               0.000628,               0.000628,               0.000628
                    287,                 1.2865,                0.88538,                 1.0626,                0.54695,                0.43323,                  0.448,                0.27025,                   1.33,                0.97099,                 1.0871,               0.000595,               0.000595,               0.000595
                    288,                 1.2914,                  0.889,                 1.0648,                0.54695,                0.43328,                0.44793,                0.27043,                   1.33,                0.97077,                 1.0871,               0.000562,               0.000562,               0.000562
                    289,                  1.286,                0.88884,                 1.0661,                0.54835,                0.43241,                0.44793,                0.27043,                   1.33,                0.97085,                 1.0872,               0.000529,               0.000529,               0.000529
                    290,                  1.287,                0.88582,                 1.0633,                 0.5499,                0.43142,                0.44799,                0.27051,                   1.33,                0.97092,                 1.0873,               0.000496,               0.000496,               0.000496
                    291,                 1.2963,                0.87465,                 1.0805,                0.54646,                  0.433,                0.44794,                0.27053,                 1.3301,                0.97097,                 1.0874,               0.000463,               0.000463,               0.000463
                    292,                 1.2853,                0.86583,                 1.0771,                0.55019,                0.43055,                0.44803,                0.27057,                 1.3302,                0.97081,                 1.0873,                0.00043,                0.00043,                0.00043
                    293,                 1.2851,                0.86512,                 1.0764,                0.55005,                0.43085,                 0.4481,                0.27038,                 1.3302,                 0.9708,                 1.0873,               0.000397,               0.000397,               0.000397
                    294,                 1.2831,                0.86275,                 1.0767,                0.55059,                0.43016,                0.44824,                0.27065,                 1.3302,                0.97077,                 1.0873,               0.000364,               0.000364,               0.000364
                    295,                 1.2791,                0.86061,                 1.0766,                0.54881,                 0.4313,                0.44838,                0.27062,                 1.3303,                0.97047,                 1.0873,               0.000331,               0.000331,               0.000331
                    296,                 1.2805,                0.86053,                 1.0748,                0.55037,                0.43093,                0.44824,                0.27052,                 1.3303,                0.97064,                 1.0873,               0.000298,               0.000298,               0.000298
                    297,                 1.2783,                0.85805,                 1.0722,                0.55068,                0.43104,                0.44864,                0.27053,                 1.3302,                0.97072,                 1.0873,               0.000265,               0.000265,               0.000265
                    298,                 1.2795,                0.85661,                 1.0729,                0.55153,                0.42935,                0.44826,                0.27051,                 1.3304,                0.97053,                 1.0873,               0.000232,               0.000232,               0.000232
                    299,                  1.278,                0.85771,                 1.0743,                0.54959,                0.43153,                 0.4486,                0.27059,                 1.3303,                 0.9705,                 1.0874,               0.000199,               0.000199,               0.000199
                    300,                 1.2755,                0.85509,                 1.0735,                0.55043,                0.43108,                0.44879,                 0.2706,                 1.3305,                0.97078,                 1.0874,               0.000166,               0.000166,               0.000166
